"depth_m";"date";"press_PSI";"Temp_degC";"cond_uS_cm";"spec_Cond_uS_cm";"DO_mg_L";"DOsat_%";"PAR";"pH";"Chla_ug_L";"turb_FTU"
0.345;2022-06-03 12:25:05;0.491;23.9891;368.389363;375.947;6.0914;72.422;242.24;8.984;5.126;3.206
0.367;2022-06-03 12:25:05;0.522;23.9688;367.236497;374.926;6.1149;72.673;245.45;8.983;5.4693;3.239
0.407;2022-06-03 12:25:05;0.579;23.944;366.781457;374.651;6.1304;72.823;234.12;8.981;5.7516;3.22
0.455;2022-06-03 12:25:05;0.648;23.9195;366.447776;374.498;6.1517;73.043;250.11;8.976;5.8965;3.164
0.489;2022-06-03 12:25:06;0.696;23.9012;367.691663;375.91;6.1749;73.294;253.92;8.97;6.0339;3.214
0.51;2022-06-03 12:25:06;0.725;23.8876;367.479308;375.797;6.192;73.478;263.78;8.972;5.9118;3.246
0.515;2022-06-03 12:25:06;0.733;23.8778;367.631014;376.027;6.2148;73.735;264.34;8.969;5.9118;3.275
0.503;2022-06-03 12:25:06;0.716;23.8718;367.661359;376.104;6.2316;73.926;263.55;8.969;6.011;3.195
0.498;2022-06-03 12:25:07;0.708;23.8683;369.026665;377.529;6.2485;74.122;264.48;8.97;6.0415;3.145
0.502;2022-06-03 12:25:07;0.714;23.8657;364.991707;373.42;6.257;74.218;270.87;8.969;6.0415;3.048
0.522;2022-06-03 12:25:07;0.742;23.8644;362.716705;371.103;6.2584;74.233;274.75;8.969;6.2094;3.086
0.555;2022-06-03 12:25:07;0.789;23.8616;362.079754;370.473;6.2589;74.235;275.43;8.966;6.3009;3.309
0.582;2022-06-03 12:25:08;0.828;23.8569;362.322408;370.756;6.2611;74.255;272.26;8.969;6.4077;3.346
0.615;2022-06-03 12:25:08;0.874;23.8541;362.5044;370.964;6.2632;74.275;266.39;8.963;6.3772;3.323
0.662;2022-06-03 12:25:08;0.941;23.8527;362.079768;370.54;6.2608;74.245;275.09;8.964;6.484;3.285
0.71;2022-06-03 12:25:08;1.009;23.8502;361.109211;369.565;6.2736;74.394;281.15;8.965;6.6976;3.355
0.766;2022-06-03 12:25:09;1.09;23.8417;360.351004;368.854;6.2864;74.533;281.89;8.963;6.8273;3.298
0.823;2022-06-03 12:25:09;1.171;23.8313;360.108394;368.684;6.3086;74.782;284.13;8.961;6.957;3.346
0.873;2022-06-03 12:25:09;1.242;23.821;359.956769;368.606;6.3378;75.113;293.16;8.959;6.9876;3.349
0.918;2022-06-03 12:25:09;1.306;23.81;360.351047;369.094;6.3612;75.375;294.34;8.96;7.102;3.395
0.953;2022-06-03 12:25:10;1.355;23.8013;360.199418;369.004;6.3844;75.637;298.77;8.96;7.0944;3.372
0.985;2022-06-03 12:25:10;1.4;23.7958;361.74621;370.63;6.4046;75.869;297.15;8.96;7.1554;3.365
1.025;2022-06-03 12:25:10;1.458;23.7905;359.047002;367.905;6.419;76.032;300.19;8.962;7.2088;3.393
1.071;2022-06-03 12:25:10;1.523;23.786;358.470818;367.348;6.3821;75.588;305.78;8.96;7.2164;3.508
1.113;2022-06-03 12:25:11;1.584;23.7824;358.652777;367.562;6.347;75.168;310.54;8.962;7.3156;3.641
1.151;2022-06-03 12:25:11;1.636;23.7766;358.652785;367.605;6.4495;76.373;306.43;8.961;7.4759;3.965
1.201;2022-06-03 12:25:11;1.708;23.7548;358.076632;367.179;6.7594;80.01;320.13;8.96;7.8039;3.872
1.25;2022-06-03 12:25:11;1.778;23.7122;357.561167;366.971;7.1841;84.97;311.86;8.962;7.9794;3.676
1.283;2022-06-03 12:25:12;1.824;23.6572;357.197346;367.012;7.6184;90.013;324.43;8.961;8.3075;3.632
1.301;2022-06-03 12:25:12;1.851;23.61;356.469649;366.62;7.9904;94.325;314.66;8.963;8.6432;4.044
1.316;2022-06-03 12:25:12;1.872;23.5735;356.500015;366.927;8.2877;97.768;319.06;8.965;9.017;3.872
1.334;2022-06-03 12:25:12;1.897;23.5506;357.773627;368.411;8.4744;99.927;309.29;8.964;9.284;3.603
1.367;2022-06-03 12:25:13;1.944;23.5329;358.016246;368.796;8.5507;100.793;312.02;8.961;9.4748;3.744
1.412;2022-06-03 12:25:13;2.009;23.5194;357.652369;368.524;8.5121;100.313;309.56;8.963;9.5663;3.693
1.466;2022-06-03 12:25:13;2.085;23.508;358.137578;369.11;8.3837;98.779;312.18;8.964;9.5969;3.704
1.527;2022-06-03 12:25:13;2.172;23.4936;357.440134;368.501;8.2227;96.855;315.05;8.965;9.5435;3.777
1.576;2022-06-03 12:25:14;2.242;23.4796;356.196909;367.325;8.0716;95.05;318.78;8.964;9.6655;3.874
1.613;2022-06-03 12:25:14;2.295;23.4694;355.620811;366.808;7.9586;93.702;320.58;8.964;9.7266;3.931
1.649;2022-06-03 12:25:14;2.346;23.4606;355.105367;366.343;7.8652;92.586;320.8;8.966;9.6045;3.885
1.685;2022-06-03 12:25:14;2.397;23.4508;354.620258;365.916;7.811;91.931;324.6;8.966;9.6121;3.847
1.734;2022-06-03 12:25:15;2.467;23.4411;354.468673;365.833;7.7754;91.495;323.86;8.967;9.7037;3.744
1.794;2022-06-03 12:25:15;2.552;23.4331;354.226129;365.644;7.7589;91.287;326.66;8.966;9.6808;3.834
1.859;2022-06-03 12:25:15;2.644;23.4266;354.104863;365.568;7.7535;91.212;325.51;8.967;9.9326;3.887
1.915;2022-06-03 12:25:15;2.723;23.4214;354.347424;365.857;7.7459;91.115;326.03;8.965;10.1233;4.038
1.963;2022-06-03 12:25:16;2.791;23.4158;354.226155;365.775;7.7504;91.157;322.38;8.964;10.1462;4.202
2.001;2022-06-03 12:25:16;2.846;23.4102;354.165524;365.754;7.7526;91.174;324.43;8.964;10.1843;3.933
2.027;2022-06-03 12:25:16;2.883;23.4046;354.286808;365.921;7.7568;91.214;320.8;8.965;10.2835;3.882
2.051;2022-06-03 12:25:16;2.917;23.3986;354.165539;365.841;7.7749;91.417;321.08;8.962;10.3522;3.994
2.086;2022-06-03 12:25:17;2.967;23.3945;354.074588;365.779;7.8136;91.864;316.27;8.965;10.6116;3.878
2.124;2022-06-03 12:25:17;3.021;23.3883;351.13387;362.787;7.8384;92.144;312.68;8.965;10.8405;3.96
2.169;2022-06-03 12:25:17;3.085;23.3655;349.709161;361.486;7.8921;92.735;310.27;8.964;11.0465;4.107
2.223;2022-06-03 12:25:17;3.162;23.3227;349.527337;361.618;8.0857;94.933;308.91;8.967;11.1838;3.929
2.283;2022-06-03 12:25:18;3.248;23.2897;349.466752;361.802;8.4703;99.386;304.28;8.964;11.1838;3.943
2.335;2022-06-03 12:25:18;3.321;23.2706;349.466776;361.945;8.9404;104.865;304.28;8.965;11.0999;4.063
2.381;2022-06-03 12:25:18;3.386;23.2586;349.436479;362.004;9.3854;110.06;303;8.964;11.0922;4.097
