depth_m,Temp_degC
0.345,23.9891
0.367,23.9688
0.407,23.944
0.455,23.9195
0.489,23.9012
0.51,23.8876
0.515,23.8778
0.503,23.8718
0.498,23.8683
0.502,23.8657
0.522,23.8644
0.555,23.8616
0.582,23.8569
0.615,23.8541
0.662,23.8527
0.71,23.8502
0.766,23.8417
0.823,23.8313
0.873,23.821
0.918,23.81
0.953,23.8013
0.985,23.7958
1.025,23.7905
1.071,23.786
1.113,23.7824
1.151,23.7766
1.201,23.7548
1.25,23.7122
1.283,23.6572
1.301,23.61
1.316,23.5735
1.334,23.5506
1.367,23.5329
1.412,23.5194
1.466,23.508
1.527,23.4936
1.576,23.4796
1.613,23.4694
1.649,23.4606
1.685,23.4508
1.734,23.4411
1.794,23.4331
1.859,23.4266
1.915,23.4214
1.963,23.4158
2.001,23.4102
2.027,23.4046
2.051,23.3986
2.086,23.3945
2.124,23.3883
2.169,23.3655
2.223,23.3227
2.283,23.2897
2.335,23.2706
2.381,23.2586
2.421,23.2468
2.449,23.2336
2.474,23.2226
2.495,23.2141
2.521,23.2036
2.559,23.1937
2.6,23.1822
2.655,23.1711
2.721,23.1625
2.783,23.1507
2.834,23.1281
2.875,23.0983
2.91,23.0554
2.933,23.007
2.954,22.9734
2.984,22.9516
3.034,22.9366
3.09,22.9298
3.14,22.9302
3.178,22.9275
3.224,22.9138
3.264,22.9006
3.283,22.8925
3.297,22.8873
3.317,22.8842
3.347,22.8825
3.387,22.8811
3.437,22.8802
3.49,22.88
3.536,22.8799
3.578,22.8792
3.619,22.8783
3.654,22.877
3.691,22.8749
3.733,22.8734
3.769,22.8725
3.798,22.8716
3.822,22.8708
3.849,22.8699
3.881,22.8692
3.909,22.8691
3.925,22.8684
3.947,22.8672
3.983,22.867
4.024,22.8667
4.068,22.8651
4.104,22.862
4.136,22.8471
4.168,22.8008
4.201,22.7402
4.238,22.6801
4.273,22.6386
4.312,22.6198
4.344,22.6015
4.379,22.5761
4.415,22.5484
4.449,22.5264
4.473,22.5119
4.498,22.4984
4.518,22.4882
4.543,22.4768
4.578,22.4666
4.608,22.4614
4.643,22.4593
4.68,22.4581
4.711,22.4569
4.722,22.455
4.717,22.453
4.726,22.4518
4.749,22.4509
4.786,22.4498
4.84,22.4487
4.896,22.448
4.948,22.4476
4.985,22.4442
5.003,22.4354
5.018,22.4197
5.037,22.4049
5.064,22.3926
5.1,22.3728
5.146,22.3438
5.197,22.3226
5.237,22.2967
5.265,22.2246
5.283,22.1291
5.296,22.039
5.305,21.9709
5.321,21.924
5.347,21.9062
5.377,21.9186
5.413,21.9645
5.456,21.9784
5.501,21.9211
5.546,21.8119
5.579,21.7047
5.601,21.6307
5.633,21.5892
5.664,21.5675
5.692,21.5562
5.73,21.5502
5.777,21.5482
5.816,21.5458
5.832,21.5395
5.838,21.5251
5.856,21.5107
5.89,21.5009
5.927,21.4921
5.954,21.4776
5.978,21.4637
6.01,21.4512
6.049,21.4321
6.093,21.4054
6.124,21.3713
6.157,21.3155
6.191,21.2405
6.233,21.1693
6.276,21.1045
6.31,21.0532
6.338,21.0146
6.388,20.9881
6.435,20.9669
6.458,20.9532
6.474,20.9437
6.489,20.9297
